,0,1,index,host_since,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,guests_included,extra_people,minimum_maximum_nights,maximum_maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,Essentials,Smoke detector,Heating,Hangers,Hair dryer,Wifi,Carbon monoxide detector,Shampoo,Iron,Kitchen,{TV,Laptop friendly workspace,Washer,Dryer,Fire extinguisher
0,1.152465416996334,-0.14151549617928383,0.0,1970,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1,1,2.0,1,1,1,1,97.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,2.7561707617677618,0.7132627284996211,1.0,1970,2,1,1,1,1,2,1,2,2,2.0,1.0,1.0,2,1,2.0,2,2,2,2,94.0,1,1,1,3.0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1
2,-0.7002724355016875,-0.8036564305273901,2.0,1970,1,2,2,1,1,3,1,1,1,5.0,1.0,2.0,3,1,2.0,3,3,3,3,98.0,1,1,1,1.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
3,-0.03131684514955644,-0.6809814360387735,3.0,1970,2,3,1,1,1,1,1,1,2,2.0,4.0,1.0,2,1,1.0,4,3,3,4,86.0,1,1,1,9.0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1
4,-0.23172298397552474,-0.6271823404095419,4.0,1970,2,3,1,1,1,1,1,1,2,2.0,4.0,1.0,2,1,1.0,4,4,4,5,93.0,1,1,1,9.0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
5,-1.6644918072174428,-0.13625695769896878,5.0,1970,3,1,2,1,1,1,1,2,1,4.0,1.5,2.0,1,1,2.0,5,5,5,6,97.0,1,2,2,2.0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
6,3.9900581280572704,0.20039257554931605,6.0,1970,2,1,1,1,2,3,1,3,2,3.0,1.0,1.0,1,1,2.0,6,6,6,7,98.0,2,1,1,2.0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
7,0.24250692184247163,0.07161715763542056,7.0,1970,2,1,1,1,1,4,1,2,2,2.0,1.0,1.0,2,1,1.0,3,7,7,8,94.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,3.0654411008910514,-0.2593313618931955,8.0,1970,3,1,1,1,1,3,1,2,1,4.0,1.0,2.0,3,1,1.0,3,3,3,9,96.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
9,2.1676263262109954,-0.8665083295324953,9.0,1970,3,1,2,1,1,5,1,1,1,2.0,1.0,0.0,2,1,2.0,3,8,8,4,99.0,1,1,2,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
10,2.7973367609617723,-0.17223198194955003,10.0,1970,3,1,2,1,1,1,1,1,1,3.0,1.0,3.0,3,1,6.0,3,5,5,10,89.0,1,1,1,41.0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0
11,3.44937069874071,0.0852191082221353,11.0,1970,3,1,2,1,1,6,1,1,1,5.0,2.0,3.0,3,1,1.0,3,5,5,11,91.0,1,1,1,41.0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
12,1.4995128268281372,0.4573668653960721,12.0,1970,3,1,2,1,1,6,1,1,1,2.0,1.5,1.0,2,1,1.0,3,7,7,12,92.0,1,1,1,41.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
13,-0.5946590841141419,-0.6011091244915485,13.0,1970,2,3,1,1,1,1,2,1,2,2.0,3.0,1.0,1,1,1.0,4,3,3,13,80.0,1,1,1,9.0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
14,-1.1083879979791618,-0.4496683864584299,14.0,1970,2,3,1,1,1,1,2,1,2,2.0,3.0,1.0,1,1,1.0,4,4,4,14,64.0,1,1,1,9.0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
15,-0.18424786189347128,-0.12047206262921152,15.0,1970,2,1,1,1,1,7,1,1,2,1.0,1.0,1.0,2,1,1.0,3,9,9,15,98.0,2,1,1,1.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0
16,1.2263482664405347,-0.37061596676070196,16.0,1970,2,1,1,1,1,1,2,4,1,4.0,1.0,2.0,3,1,1.0,7,10,10,16,95.0,1,2,2,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,-2.7873625008576046,-0.2837037655973315,17.0,1970,3,1,1,1,1,3,1,1,1,3.0,1.0,1.0,1,1,2.0,8,11,11,17,97.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
